"State"|"ST_CEN_CD"|"District"|"DT_CEN_CD"|"TRU"|"Households"|"Latrines"|"latrinepercent"
"DADRA & NAGAR HAVELI "|26|"DADRA & NAGAR HAVELI "|496|"Rural"|35408|9389|27%
"DADRA & NAGAR HAVELI "|26|"DADRA & NAGAR HAVELI "|496|"Urban"|37655|30610|81%
"Daman & Diu"|25|"Diu"|494|"Total"|10689|6282|59%
"Daman & Diu"|25|"Diu"|494|"Rural"|5410|2341|43%
"Daman & Diu"|25|"Diu"|494|"Urban"|5279|3941|75%
"Daman & Diu"|25|"Daman"|495|"Total"|49692|40951|82%
"Daman & Diu"|25|"Daman"|495|"Rural"|7340|4209|57%
"Daman & Diu"|25|"Daman"|495|"Urban"|42352|36742|87%
"Delhi"|7|"North West"|90|"Total"|730034|618297|85%
"Delhi"|7|"North West"|90|"Rural"|41486|26613|64%
"Delhi"|7|"North West"|90|"Urban"|688548|591684|86%
"Delhi"|7|"North"|91|"Total"|175890|158373|90%
"Delhi"|7|"North"|91|"Rural"|3184|3121|98%
"Delhi"|7|"North"|91|"Urban"|172706|155252|90%
"Delhi"|7|"North East"|92|"Total"|395060|375856|95%
"Delhi"|7|"North East"|92|"Rural"|3720|3533|95%
"Delhi"|7|"North East"|92|"Urban"|391340|372323|95%
"Delhi"|7|"East"|93|"Total"|354385|331089|93%
"Delhi"|7|"East"|93|"Rural"|827|811|98%
"Delhi"|7|"East"|93|"Urban"|353558|330278|93%
"Delhi"|7|"New Delhi"|94|"Total"|30385|23658|78%
"Delhi"|7|"New Delhi"|94|"Rural"|0|0|0
"Delhi"|7|"New Delhi"|94|"Urban"|30385|23658|78%
"Delhi"|7|"Central"|95|"Total"|114587|104040|91%
"Delhi"|7|"Central"|95|"Rural"|0|0|0
"Delhi"|7|"Central"|95|"Urban"|114587|104040|91%
"Delhi"|7|"West"|96|"Total"|523703|471008|90%
"Delhi"|7|"West"|96|"Rural"|1151|1003|87%
"Delhi"|7|"West"|96|"Urban"|522552|470005|90%
"Delhi"|7|"South West"|97|"Total"|462772|421100|91%
"Delhi"|7|"South West"|97|"Rural"|26493|23231|88%
"Delhi"|7|"South West"|97|"Urban"|436279|397869|91%
"Delhi"|7|"South"|98|"Total"|553722|487320|88%
"Delhi"|7|"South"|98|"Rural"|2254|2043|91%
"Delhi"|7|"South"|98|"Urban"|551468|485277|88%
"Goa"|30|"North Goa"|585|"Total"|179085|140924|79%
"Goa"|30|"North Goa"|585|"Rural"|71412|49092|69%
"Goa"|30|"North Goa"|585|"Urban"|107673|91832|85%
"Goa"|30|"South Goa"|586|"Total"|143728|116414|81%
"Goa"|30|"South Goa"|586|"Rural"|53262|39331|74%
"Goa"|30|"South Goa"|586|"Urban"|90466|77083|85%
"Gujarat"|24|"Kachchh"|468|"Total"|444761|280257|63%
"Gujarat"|24|"Kachchh"|468|"Rural"|285991|140634|49%
"Gujarat"|24|"Kachchh"|468|"Urban"|158770|139623|88%
"Gujarat"|24|"Banas Kantha"|469|"Total"|561128|146022|26%
"Gujarat"|24|"Banas Kantha"|469|"Rural"|479308|82201|17%
"Gujarat"|24|"Banas Kantha"|469|"Urban"|81820|63821|78%
"Gujarat"|24|"Patan "|470|"Total"|269174|123977|46%
"Gujarat"|24|"Patan "|470|"Rural"|210593|75691|36%
"Gujarat"|24|"Patan "|470|"Urban"|58581|48286|82%
"Gujarat"|24|"Mahesana"|471|"Total"|425907|232825|55%
"Gujarat"|24|"Mahesana"|471|"Rural"|318040|141139|44%
"Gujarat"|24|"Mahesana"|471|"Urban"|107867|91686|85%
"Gujarat"|24|"Sabar Kantha"|472|"Total"|478497|182583|38%
"Gujarat"|24|"Sabar Kantha"|472|"Rural"|404203|125630|31%
"Gujarat"|24|"Sabar Kantha"|472|"Urban"|74294|56953|77%
"Gujarat"|24|"Gandhinagar"|473|"Total"|287200|171166|60%
"Gujarat"|24|"Gandhinagar"|473|"Rural"|160460|68724|43%
"Gujarat"|24|"Gandhinagar"|473|"Urban"|126740|102442|81%
"Gujarat"|24|"Ahmadabad"|474|"Total"|1494656|1241055|83%
"Gujarat"|24|"Ahmadabad"|474|"Rural"|228886|75235|33%
"Gujarat"|24|"Ahmadabad"|474|"Urban"|1265770|1165820|92%
"Gujarat"|24|"Surendranagar"|475|"Total"|342337|120741|35%
"Gujarat"|24|"Surendranagar"|475|"Rural"|241831|50371|21%
"Gujarat"|24|"Surendranagar"|475|"Urban"|100506|70370|70%
"Gujarat"|24|"Rajkot"|476|"Total"|782631|543342|69%
"Gujarat"|24|"Rajkot"|476|"Rural"|313713|137949|44%
"Gujarat"|24|"Rajkot"|476|"Urban"|468918|405393|86%
"Gujarat"|24|"Jamnagar"|477|"Total"|424336|242841|57%
"Gujarat"|24|"Jamnagar"|477|"Rural"|230295|80204|35%
"Gujarat"|24|"Jamnagar"|477|"Urban"|194041|162637|84%
"Gujarat"|24|"Porbandar"|478|"Total"|124769|72287|58%
"Gujarat"|24|"Porbandar"|478|"Rural"|63553|24880|39%
"Gujarat"|24|"Porbandar"|478|"Urban"|61216|47407|77%
"Gujarat"|24|"Junagadh "|479|"Total"|526674|313730|60%
"Gujarat"|24|"Junagadh "|479|"Rural"|346939|159716|46%
"Gujarat"|24|"Junagadh "|479|"Urban"|179735|154014|86%
"Gujarat"|24|"Amreli "|480|"Total"|294071|173045|59%
"Gujarat"|24|"Amreli "|480|"Rural"|218891|114124|52%
"Gujarat"|24|"Amreli "|480|"Urban"|75180|58921|78%
"Gujarat"|24|"Bhavnagar "|481|"Total"|542464|292210|54%
"Gujarat"|24|"Bhavnagar "|481|"Rural"|303727|97517|32%
"Gujarat"|24|"Bhavnagar "|481|"Urban"|238737|194693|82%
"Gujarat"|24|"Anand "|482|"Total"|427164|230571|54%
"Gujarat"|24|"Anand "|482|"Rural"|297069|122559|41%
"Gujarat"|24|"Anand "|482|"Urban"|130095|108012|83%
"Gujarat"|24|"Kheda"|483|"Total"|462134|172599|37%
"Gujarat"|24|"Kheda"|483|"Rural"|358132|90966|25%
"Gujarat"|24|"Kheda"|483|"Urban"|104002|81633|78%
"Gujarat"|24|"Panch Mahals"|484|"Total"|446746|121676|27%
"Gujarat"|24|"Panch Mahals"|484|"Rural"|378617|64384|17%
"Gujarat"|24|"Panch Mahals"|484|"Urban"|68129|57292|84%
"Gujarat"|24|"Dohad"|485|"Total"|329872|43164|13%
"Gujarat"|24|"Dohad"|485|"Rural"|294997|18144|6%
"Gujarat"|24|"Dohad"|485|"Urban"|34875|25023|72%
"Gujarat"|24|"Vadodara"|486|"Total"|880121|543474|62%
"Gujarat"|24|"Vadodara"|486|"Rural"|418851|119555|29%
"Gujarat"|24|"Vadodara"|486|"Urban"|461270|423919|92%
"Gujarat"|24|"Narmada"|487|"Total"|122039|27223|22%
"Gujarat"|24|"Narmada"|487|"Rural"|109005|17483|16%
"Gujarat"|24|"Narmada"|487|"Urban"|13034|9740|75%
"Gujarat"|24|"Bharuch"|488|"Total"|335098|204943|61%
"Gujarat"|24|"Bharuch"|488|"Rural"|217028|99410|46%
"Gujarat"|24|"Bharuch"|488|"Urban"|118070|105533|89%
"Gujarat"|24|"The Dangs"|489|"Total"|48448|13736|28%
"Gujarat"|24|"The Dangs"|489|"Rural"|43842|11074|25%
"Gujarat"|24|"The Dangs"|489|"Urban"|4606|2662|58%
"Gujarat"|24|"Navsari"|490|"Total"|294176|168150|57%
"Gujarat"|24|"Navsari"|490|"Rural"|203615|90542|44%
"Gujarat"|24|"Navsari"|490|"Urban"|90561|77608|86%
"Gujarat"|24|"Valsad"|491|"Total"|361928|170861|47%
"Gujarat"|24|"Valsad"|491|"Rural"|215288|59386|28%
"Gujarat"|24|"Valsad"|491|"Urban"|146640|111475|76%
"Gujarat"|24|"Surat"|492|"Total"|1299670|1103767|85%
"Gujarat"|24|"Surat"|492|"Rural"|263433|131542|50%
"Gujarat"|24|"Surat"|492|"Urban"|1036237|972225|94%
"Gujarat"|24|"Tapi"|493|"Total"|175717|49441|28%
"Gujarat"|24|"Tapi"|493|"Rural"|159096|36566|23%
"Gujarat"|24|"Tapi"|493|"Urban"|16621|12875|77%
"Haryana"|6|"Panchkula "|69|"Total"|110236|77967|71%
"Haryana"|6|"Panchkula "|69|"Rural"|42651|18786|44%
"Haryana"|6|"Panchkula "|69|"Urban"|67585|59181|88%
"Haryana"|6|"Ambala "|70|"Total"|208071|142922|69%
"Haryana"|6|"Ambala "|70|"Rural"|112525|57554|51%
"Haryana"|6|"Ambala "|70|"Urban"|95546|85368|89%
"Haryana"|6|"Yamunanagar "|71|"Total"|228163|148667|65%
"Haryana"|6|"Yamunanagar "|71|"Rural"|133009|61199|46%
"Haryana"|6|"Yamunanagar "|71|"Urban"|95154|87468|92%
"Haryana"|6|"Kurukshetra "|72|"Total"|179391|136321|76%
"Haryana"|6|"Kurukshetra "|72|"Rural"|126220|87171|69%
"Haryana"|6|"Kurukshetra "|72|"Urban"|53171|49150|92%
"Haryana"|6|"Kaithal "|73|"Total"|200221|126896|63%
"Haryana"|6|"Kaithal "|73|"Rural"|154438|89039|58%
"Haryana"|6|"Kaithal "|73|"Urban"|45783|37857|83%
"Haryana"|6|"Karnal "|74|"Total"|284551|215989|76%
"Haryana"|6|"Karnal "|74|"Rural"|194003|133025|69%
"Haryana"|6|"Karnal "|74|"Urban"|90548|82964|92%
"Haryana"|6|"Panipat "|75|"Total"|220388|176766|80%
"Haryana"|6|"Panipat "|75|"Rural"|114922|76682|67%
"Haryana"|6|"Panipat "|75|"Urban"|105466|100084|95%
"Haryana"|6|"Sonipat"|76|"Total"|269658|183719|68%
"Haryana"|6|"Sonipat"|76|"Rural"|180286|101337|56%
"Haryana"|6|"Sonipat"|76|"Urban"|89372|82382|92%
"Haryana"|6|"Jind"|77|"Total"|244582|146428|60%
"Haryana"|6|"Jind"|77|"Rural"|187059|96049|51%
"Haryana"|6|"Jind"|77|"Urban"|57523|50379|88%
"Haryana"|6|"Fatehabad "|78|"Total"|176094|134586|76%
"Haryana"|6|"Fatehabad "|78|"Rural"|141266|102915|73%
"Haryana"|6|"Fatehabad "|78|"Urban"|34828|31671|91%
"Haryana"|6|"Sirsa"|79|"Total"|240217|215371|90%
"Haryana"|6|"Sirsa"|79|"Rural"|178789|158480|89%
"Haryana"|6|"Sirsa"|79|"Urban"|61428|58891|96%
"Haryana"|6|"Hisar"|80|"Total"|325046|231144|71%
"Haryana"|6|"Hisar"|80|"Rural"|221028|138093|62%
"Haryana"|6|"Hisar"|80|"Urban"|104018|93051|89%
"Haryana"|6|"Bhiwani"|81|"Total"|308812|175689|57%
"Haryana"|6|"Bhiwani"|81|"Rural"|245761|120948|49%
"Haryana"|6|"Bhiwani"|81|"Urban"|63051|54741|87%
"Haryana"|6|"Rothak"|82|"Total"|202933|147990|73%
"Haryana"|6|"Rothak"|82|"Rural"|115506|67496|58%
"Haryana"|6|"Rothak"|82|"Urban"|87427|80494|92%
"Haryana"|6|"Jhajjar"|83|"Total"|183400|123545|67%
"Haryana"|6|"Jhajjar"|83|"Rural"|134340|78550|58%
"Haryana"|6|"Jhajjar"|83|"Urban"|49060|44995|92%
"Haryana"|6|"Mahendragarh "|84|"Total"|168525|74605|44%
"Haryana"|6|"Mahendragarh "|84|"Rural"|145235|56620|39%
"Haryana"|6|"Mahendragarh "|84|"Urban"|23290|17985|77%
"Haryana"|6|"Rewari"|85|"Total"|169128|100436|59%
"Haryana"|6|"Rewari"|85|"Rural"|126261|62816|50%
"Haryana"|6|"Rewari"|85|"Urban"|42867|37820|88%
"Haryana"|6|"Gurgaon"|86|"Total"|320642|271169|85%
"Haryana"|6|"Gurgaon"|86|"Rural"|88013|57754|66%
"Haryana"|6|"Gurgaon"|86|"Urban"|232629|213415|92%
"Haryana"|6|"Mewat"|87|"Total"|157020|36802|23%
"Haryana"|6|"Mewat"|87|"Rural"|137261|24448|18%
"Haryana"|6|"Mewat"|87|"Urban"|19759|12354|63%
"Haryana"|6|"Faridabad "|88|"Total"|353066|296399|84%
"Haryana"|6|"Faridabad "|88|"Rural"|60315|35332|59%
"Haryana"|6|"Faridabad "|88|"Urban"|292751|261067|89%
"Haryana"|6|"Palwal "|89|"Total"|167810|74531|44%
"Haryana"|6|"Palwal "|89|"Rural"|127165|40865|32%
"Haryana"|6|"Palwal "|89|"Urban"|40645|33666|83%
"Himachal Pradesh"|2|"Chamba"|23|"Total"|101972|52553|52%
"Himachal Pradesh"|2|"Chamba"|23|"Rural"|94574|46120|49%
"Himachal Pradesh"|2|"Chamba"|23|"Urban"|7398|6433|87%
"Himachal Pradesh"|2|"Kangra"|24|"Total"|336407|220258|65%
"Himachal Pradesh"|2|"Kangra"|24|"Rural"|316419|203806|64%
"Himachal Pradesh"|2|"Kangra"|24|"Urban"|19988|16452|82%
"Himachal Pradesh"|2|"Lahul & Spiti"|25|"Total"|6695|5232|78%
"Himachal Pradesh"|2|"Lahul & Spiti"|25|"Rural"|6695|5232|78%
"Himachal Pradesh"|2|"Lahul & Spiti"|25|"Urban"|0|0|0
"Himachal Pradesh"|2|"Kullu"|26|"Total"|95545|55831|58%
"Himachal Pradesh"|2|"Kullu"|26|"Rural"|84501|45826|54%
"Himachal Pradesh"|2|"Kullu"|26|"Urban"|11044|10005|91%
"Himachal Pradesh"|2|"Mandi"|27|"Total"|219994|181985|83%
"Himachal Pradesh"|2|"Mandi"|27|"Rural"|204051|167323|82%
"Himachal Pradesh"|2|"Mandi"|27|"Urban"|15943|14662|92%
"Himachal Pradesh"|2|"Hamirpur"|28|"Total"|105068|93858|89%
"Himachal Pradesh"|2|"Hamirpur"|28|"Rural"|97893|87232|89%
"Himachal Pradesh"|2|"Hamirpur"|28|"Urban"|7175|6626|92%
"Himachal Pradesh"|2|"Una"|29|"Total"|109699|66103|60%
"Himachal Pradesh"|2|"Una"|29|"Rural"|99791|58716|59%
"Himachal Pradesh"|2|"Una"|29|"Urban"|9908|7387|75%
"Himachal Pradesh"|2|"Bilaspur"|30|"Total"|80453|56814|71%
"Himachal Pradesh"|2|"Bilaspur"|30|"Rural"|74661|51401|69%
"Himachal Pradesh"|2|"Bilaspur"|30|"Urban"|5792|5413|93%
"Himachal Pradesh"|2|"Solan"|31|"Total"|123353|90587|73%
"Himachal Pradesh"|2|"Solan"|31|"Rural"|97237|67131|69%
"Himachal Pradesh"|2|"Solan"|31|"Urban"|26116|23456|90%
"Himachal Pradesh"|2|"Sirmaur"|32|"Total"|97090|60246|62%
"Himachal Pradesh"|2|"Sirmaur"|32|"Rural"|84317|47975|57%
"Himachal Pradesh"|2|"Sirmaur"|32|"Urban"|12773|12271|96%
"Himachal Pradesh"|2|"Shimla"|33|"Total"|180779|123535|68%
"Himachal Pradesh"|2|"Shimla"|33|"Rural"|130864|78286|60%
"Himachal Pradesh"|2|"Shimla"|33|"Urban"|49906|45273|91%
"Himachal Pradesh"|2|"Kinnaur"|34|"Total"|19535|13521|69%
"Himachal Pradesh"|2|"Kinnaur"|34|"Rural"|19535|13521|69%
"Himachal Pradesh"|2|"Kinnaur"|34|"Urban"|0|0|0
"Jammu & Kashmir"|1|"Kupwara"|1|"Total"|106777|54335|51%
"Jammu & Kashmir"|1|"Kupwara"|1|"Rural"|96737|47288|49%
"Jammu & Kashmir"|1|"Kupwara"|1|"Urban"|10040|7047|70%
"Jammu & Kashmir"|1|"Badgam"|2|"Total"|99219|83615|84%
"Jammu & Kashmir"|1|"Badgam"|2|"Rural"|86083|71734|83%
"Jammu & Kashmir"|1|"Badgam"|2|"Urban"|13136|11881|90%
"Jammu & Kashmir"|1|"Leh"|3|"Total"|20777|18780|90%
"Jammu & Kashmir"|1|"Leh"|3|"Rural"|14590|12851|88%
"Jammu & Kashmir"|1|"Leh"|3|"Urban"|6187|5929|96%
"Jammu & Kashmir"|1|"Kargil"|4|"Total"|18212|17649|97%
"Jammu & Kashmir"|1|"Kargil"|4|"Rural"|15442|14949|97%
"Jammu & Kashmir"|1|"Kargil"|4|"Urban"|2770|2700|97%
"Jammu & Kashmir"|1|"Punch"|5|"Total"|88878|16586|19%
"Jammu & Kashmir"|1|"Punch"|5|"Rural"|81670|11158|14%
"Jammu & Kashmir"|1|"Punch"|5|"Urban"|7208|5428|75%
"Jammu & Kashmir"|1|"Rajauri "|6|"Total"|124000|17778|14%
"Jammu & Kashmir"|1|"Rajauri "|6|"Rural"|117183|11950|10%
"Jammu & Kashmir"|1|"Rajauri "|6|"Urban"|6817|5828|85%
"Jammu & Kashmir"|1|"Kathua "|7|"Total"|117836|26033|22%
"Jammu & Kashmir"|1|"Kathua "|7|"Rural"|100283|14258|14%
"Jammu & Kashmir"|1|"Kathua "|7|"Urban"|17553|11775|67%
"Jammu & Kashmir"|1|"Baramula "|8|"Total"|145990|113281|78%
"Jammu & Kashmir"|1|"Baramula "|8|"Rural"|119791|89048|74%
"Jammu & Kashmir"|1|"Baramula "|8|"Urban"|26199|24233|92%
"Jammu & Kashmir"|1|"Bandipore "|9|"Total"|56794|42035|74%
"Jammu & Kashmir"|1|"Bandipore "|9|"Rural"|47620|33382|70%
"Jammu & Kashmir"|1|"Bandipore "|9|"Urban"|9174|8653|94%
"Jammu & Kashmir"|1|"Srinagar "|10|"Total"|167448|164002|98%
"Jammu & Kashmir"|1|"Srinagar "|10|"Rural"|2690|2385|89%
"Jammu & Kashmir"|1|"Srinagar "|10|"Urban"|164758|161617|98%
"Jammu & Kashmir"|1|"Ganderbal "|11|"Total"|43249|31492|73%
"Jammu & Kashmir"|1|"Ganderbal "|11|"Rural"|36626|25446|69%
"Jammu & Kashmir"|1|"Ganderbal "|11|"Urban"|6623|6046|91%
"Jammu & Kashmir"|1|"Pulwama"|12|"Total"|81241|53836|66%
"Jammu & Kashmir"|1|"Pulwama"|12|"Rural"|71063|44562|63%
"Jammu & Kashmir"|1|"Pulwama"|12|"Urban"|10178|9274|91%
"Jammu & Kashmir"|1|"Shupiyan "|13|"Total"|41947|25628|61%
"Jammu & Kashmir"|1|"Shupiyan "|13|"Rural"|39486|23296|59%
"Jammu & Kashmir"|1|"Shupiyan "|13|"Urban"|2461|2332|95%
"Jammu & Kashmir"|1|"Anantnag "|14|"Total"|142987|80917|57%
"Jammu & Kashmir"|1|"Anantnag "|14|"Rural"|109465|55613|51%
"Jammu & Kashmir"|1|"Anantnag "|14|"Urban"|33522|25304|75%
"Jammu & Kashmir"|1|"Kulgam "|15|"Total"|69203|31048|45%
"Jammu & Kashmir"|1|"Kulgam "|15|"Rural"|56316|23508|42%
"Jammu & Kashmir"|1|"Kulgam "|15|"Urban"|12887|7540|59%
"Jammu & Kashmir"|1|"Doda"|16|"Total"|78620|23060|29%
"Jammu & Kashmir"|1|"Doda"|16|"Rural"|72580|17417|24%
"Jammu & Kashmir"|1|"Doda"|16|"Urban"|6040|5643|93%
"Jammu & Kashmir"|1|"Ramban "|17|"Total"|54206|10892|20%
"Jammu & Kashmir"|1|"Ramban "|17|"Rural"|52261|9284|18%
"Jammu & Kashmir"|1|"Ramban "|17|"Urban"|1945|1608|83%
"Jammu & Kashmir"|1|"Kishtwar"|18|"Total"|44517|10761|24%
"Jammu & Kashmir"|1|"Kishtwar"|18|"Rural"|41968|8380|20%
"Jammu & Kashmir"|1|"Kishtwar"|18|"Urban"|2549|2381|93%
"Jammu & Kashmir"|1|"Udhampur"|19|"Total"|93562|18063|19%
"Jammu & Kashmir"|1|"Udhampur"|19|"Rural"|77104|5710|7%
"Jammu & Kashmir"|1|"Udhampur"|19|"Urban"|16458|12353|75%
"Jammu & Kashmir"|1|"Reasi"|20|"Total"|54792|8334|15%
"Jammu & Kashmir"|1|"Reasi"|20|"Rural"|49914|4492|9%
"Jammu & Kashmir"|1|"Reasi"|20|"Urban"|4878|3842|79%
"Jammu & Kashmir"|1|"Jammu"|21|"Total"|302016|162522|54%
"Jammu & Kashmir"|1|"Jammu"|21|"Rural"|155851|38369|25%
"Jammu & Kashmir"|1|"Jammu"|21|"Urban"|146165|124153|85%
"Jammu & Kashmir"|1|"Samba"|22|"Total"|62817|20650|33%
"Jammu & Kashmir"|1|"Samba"|22|"Rural"|53197|13844|26%
"Jammu & Kashmir"|1|"Samba"|22|"Urban"|9620|6806|71%
"Jharkhand"|20|"Garhwa"|346|"Total"|254710|18018|7%
"Jharkhand"|20|"Garhwa"|346|"Rural"|241497|11897|5%
"Jharkhand"|20|"Garhwa"|346|"Urban"|13213|6121|46%
"Jharkhand"|20|"Chatra"|347|"Total"|180912|18298|10%
"Jharkhand"|20|"Chatra"|347|"Rural"|170239|11286|7%
"Jharkhand"|20|"Chatra"|347|"Urban"|10673|7012|66%
"Jharkhand"|20|"Kodarma"|348|"Total"|114060|18818|16%
"Jharkhand"|20|"Kodarma"|348|"Rural"|90207|6817|8%
"Jharkhand"|20|"Kodarma"|348|"Urban"|23853|12001|50%
"Jharkhand"|20|"Giridih "|349|"Total"|391448|42269|11%
"Jharkhand"|20|"Giridih "|349|"Rural"|356247|20703|6%
"Jharkhand"|20|"Giridih "|349|"Urban"|35201|21566|61%
"Jharkhand"|20|"Deoghar "|350|"Total"|260316|42762|16%
"Jharkhand"|20|"Deoghar "|350|"Rural"|214896|11752|5%
"Jharkhand"|20|"Deoghar "|350|"Urban"|45420|31010|68%
"Jharkhand"|20|"Godda"|351|"Total"|251018|26348|10%
"Jharkhand"|20|"Godda"|351|"Rural"|239500|18870|8%
"Jharkhand"|20|"Godda"|351|"Urban"|11518|7478|65%
"Jharkhand"|20|"Sahibganj"|352|"Total"|224517|34451|15%
"Jharkhand"|20|"Sahibganj"|352|"Rural"|193809|17774|9%
"Jharkhand"|20|"Sahibganj"|352|"Urban"|30708|16677|54%
"Jharkhand"|20|"Pakur"|353|"Total"|180578|18395|10%
"Jharkhand"|20|"Pakur"|353|"Rural"|167362|12244|7%
"Jharkhand"|20|"Pakur"|353|"Urban"|13216|6151|47%
"Jharkhand"|20|"Dhanbad"|354|"Total"|499179|198464|40%
"Jharkhand"|20|"Dhanbad"|354|"Rural"|207157|25325|12%
"Jharkhand"|20|"Dhanbad"|354|"Urban"|292022|173139|59%
"Jharkhand"|20|"Bokaro"|355|"Total"|391438|130956|33%
"Jharkhand"|20|"Bokaro"|355|"Rural"|204021|13525|7%
"Jharkhand"|20|"Bokaro"|355|"Urban"|187417|117431|63%
"Jharkhand"|20|"Lohardaga"|356|"Total"|91302|13613|15%
"Jharkhand"|20|"Lohardaga"|356|"Rural"|80295|5849|7%
"Jharkhand"|20|"Lohardaga"|356|"Urban"|11007|7764|71%
"Jharkhand"|20|"Purbi Singhbhum"|357|"Total"|469702|234485|50%
"Jharkhand"|20|"Purbi Singhbhum"|357|"Rural"|215676|29437|14%
"Jharkhand"|20|"Purbi Singhbhum"|357|"Urban"|254026|205048|81%
"Jharkhand"|20|"Palamu"|358|"Total"|355515|46445|13%
"Jharkhand"|20|"Palamu"|358|"Rural"|316135|23502|7%
"Jharkhand"|20|"Palamu"|358|"Urban"|39380|22943|58%
"Jharkhand"|20|"Latehar"|359|"Total"|132685|14317|11%
"Jharkhand"|20|"Latehar"|359|"Rural"|122902|8858|7%
"Jharkhand"|20|"Latehar"|359|"Urban"|9783|5459|56%
"Jharkhand"|20|"Hazaribagh"|360|"Total"|301227|59041|20%
"Jharkhand"|20|"Hazaribagh"|360|"Rural"|252871|23515|9%
"Jharkhand"|20|"Hazaribagh"|360|"Urban"|48356|35526|73%
"Jharkhand"|20|"Ramgarh"|361|"Total"|177197|58313|33%
"Jharkhand"|20|"Ramgarh"|361|"Rural"|97889|10752|11%
"Jharkhand"|20|"Ramgarh"|361|"Urban"|79308|47561|60%
"Jharkhand"|20|"Dumka"|362|"Total"|272925|26873|10%
"Jharkhand"|20|"Dumka"|362|"Rural"|16999|15965|94%
"Jharkhand"|20|"Dumka"|362|"Urban"|16999|10908|64%
"Jharkhand"|20|"Jamtara"|363|"Total"|150103|14710|10%
"Jharkhand"|20|"Jamtara"|363|"Rural"|135540|5964|4%
"Jharkhand"|20|"Jamtara"|363|"Urban"|14563|8746|60%
"Jharkhand"|20|"Ranchi"|364|"Total"|556789|227932|41%
"Jharkhand"|20|"Ranchi"|364|"Rural"|322679|42680|13%
"Jharkhand"|20|"Ranchi"|364|"Urban"|234110|185252|79%
"Jharkhand"|20|"Khunti"|365|"Total"|102654|8580|8%
"Jharkhand"|20|"Khunti"|365|"Rural"|93762|3789|4%
"Jharkhand"|20|"Khunti"|365|"Urban"|8892|4791|54%
"Jharkhand"|20|"Gumla"|366|"Total"|188849|19545|10%
"Jharkhand"|20|"Gumla"|366|"Rural"|176770|11274|6%
"Jharkhand"|20|"Gumla"|366|"Urban"|12079|8271|68%
"Jharkhand"|20|"Simdega"|367|"Total"|116606|9547|8%
"Jharkhand"|20|"Simdega"|367|"Rural"|108683|5313|5%
"Jharkhand"|20|"Simdega"|367|"Urban"|7923|4234|53%
"Jharkhand"|20|"Pashchimi Singhbhum"|368|"Total"|299883|35357|12%
"Jharkhand"|20|"Pashchimi Singhbhum"|368|"Rural"|256019|9501|4%
"Jharkhand"|20|"Pashchimi Singhbhum"|368|"Urban"|43864|25856|59%
"Jharkhand"|20|"Saraikella-Kharsawan"|369|"Total"|217994|44330|20%
"Jharkhand"|20|"Saraikella-Kharsawan"|369|"Rural"|165883|10697|6%
"Jharkhand"|20|"Saraikella-Kharsawan"|369|"Urban"|52111|33633|65%
"Karnataka"|29|"Belgaum"|555|"Total"|963825|316225|33%
"Karnataka"|29|"Belgaum"|555|"Rural"|708069|131009|19%
"Karnataka"|29|"Belgaum"|555|"Urban"|255756|185216|72%
"Karnataka"|29|"Bagalkot"|556|"Total"|355377|66813|19%
"Karnataka"|29|"Bagalkot"|556|"Rural"|238746|17187|7%
"Karnataka"|29|"Bagalkot"|556|"Urban"|116631|49626|43%
"Karnataka"|29|"Bijapur"|557|"Total"|405076|73300|18%
"Karnataka"|29|"Bijapur"|557|"Rural"|307984|15516|5%
"Karnataka"|29|"Bijapur"|557|"Urban"|97092|57784|60%
"Karnataka"|29|"Bidar"|558|"Total"|313521|72805|23%
"Karnataka"|29|"Bidar"|558|"Rural"|237380|20983|9%
"Karnataka"|29|"Bidar"|558|"Urban"|76141|51822|68%
"Karnataka"|29|"Raichur"|559|"Total"|359337|74326|21%
"Karnataka"|29|"Raichur"|559|"Rural"|264274|26397|10%
"Karnataka"|29|"Raichur"|559|"Urban"|95063|47929|50%
"Karnataka"|29|"Koppal"|560|"Total"|259396|47931|18%
"Karnataka"|29|"Koppal"|560|"Rural"|213217|25565|12%
"Karnataka"|29|"Koppal"|560|"Urban"|46179|22366|48%
"Karnataka"|29|"Gadag"|561|"Total"|215602|45668|21%
"Karnataka"|29|"Gadag"|561|"Rural"|137799|12732|9%
"Karnataka"|29|"Gadag"|561|"Urban"|77803|32936|42%
"Karnataka"|29|"Dharwad"|562|"Total"|372054|212091|57%
"Karnataka"|29|"Dharwad"|562|"Rural"|157960|36449|23%
"Karnataka"|29|"Dharwad"|562|"Urban"|214094|175642|82%
"Karnataka"|29|"Uttara Kannada"|563|"Total"|319912|189843|59%
"Karnataka"|29|"Uttara Kannada"|563|"Rural"|226803|114752|51%
"Karnataka"|29|"Uttara Kannada"|563|"Urban"|93109|75091|81%
"Karnataka"|29|"Haveri"|564|"Total"|325456|121420|37%
"Karnataka"|29|"Haveri"|564|"Rural"|254181|71774|28%
"Karnataka"|29|"Haveri"|564|"Urban"|71275|49646|70%
"Karnataka"|29|"Bellary"|565|"Total"|481704|156110|32%
"Karnataka"|29|"Bellary"|565|"Rural"|291383|35296|12%
"Karnataka"|29|"Bellary"|565|"Urban"|190321|120814|63%
"Karnataka"|29|"Chitradurga "|566|"Total"|354143|107142|30%
